Datetime,Water Level (m)
2023-03-20 18:00:00,1.4421483
2023-03-20 19:00:00,1.2493358
2023-03-20 20:00:00,0.64222705
2023-03-20 21:00:00,-0.13510415
2023-03-20 22:00:00,-0.71201307
2023-03-20 23:00:00,-1.1661174
2023-03-21 00:00:00,-1.5318428
2023-03-21 01:00:00,-1.7608402
2023-03-21 02:00:00,-1.6083332
2023-03-21 03:00:00,-0.52724457
2023-03-21 04:00:00,0.36783317
2023-03-21 05:00:00,1.1066287
2023-03-21 06:00:00,1.5103086
2023-03-21 07:00:00,1.3711486
2023-03-21 08:00:00,0.7442617
2023-03-21 09:00:00,-0.040402185
2023-03-21 10:00:00,-0.6577804
2023-03-21 11:00:00,-1.1136175
2023-03-21 12:00:00,-1.4981096
2023-03-21 13:00:00,-1.7217553
2023-03-21 14:00:00,-1.61211
2023-03-21 15:00:00,-0.6051117
2023-03-21 16:00:00,0.29127693
2023-03-21 17:00:00,1.077375
2023-03-21 18:00:00,1.5493065
2023-03-21 19:00:00,1.5229762
2023-03-21 20:00:00,1.0551906
2023-03-21 21:00:00,0.27368844
2023-03-21 22:00:00,-0.43767732
2023-03-21 23:00:00,-0.9644713
2023-03-22 00:00:00,-1.4106648
2023-03-22 01:00:00,-1.7336468
2023-03-22 02:00:00,-1.835711
2023-03-22 03:00:00,-1.2406956
2023-03-22 04:00:00,-0.1641059
2023-03-22 05:00:00,0.7012122
2023-03-22 06:00:00,1.3707808
2023-03-22 07:00:00,1.5544677
2023-03-22 08:00:00,1.2831187
2023-03-22 09:00:00,0.5966786
2023-03-22 10:00:00,-0.18904552
2023-03-22 11:00:00,-0.7780344
2023-03-22 12:00:00,-1.2458215
2023-03-22 13:00:00,-1.5878185
2023-03-22 14:00:00,-1.7580714
2023-03-22 15:00:00,-1.3833005
2023-03-22 16:00:00,-0.25839648
2023-03-22 17:00:00,0.6107898
2023-03-22 18:00:00,1.3163115
2023-03-22 19:00:00,1.5488788
2023-03-22 20:00:00,1.4201193
2023-03-22 21:00:00,0.7287294
2023-03-22 22:00:00,-0.056980506
2023-03-22 23:00:00,-0.68049675
2023-03-23 00:00:00,-1.162853
2023-03-23 01:00:00,-1.5546885
2023-03-23 02:00:00,-1.7986616
2023-03-23 03:00:00,-1.7365348
2023-03-23 04:00:00,-0.7309019
2023-03-23 05:00:00,0.20437668
2023-03-23 06:00:00,1.0209935
2023-03-23 07:00:00,1.5349642
2023-03-23 08:00:00,1.5168155
2023-03-23 09:00:00,1.0591712
2023-03-23 10:00:00,0.2895033
2023-03-23 11:00:00,-0.4049786
2023-03-23 12:00:00,-0.9193923
2023-03-23 13:00:00,-1.3465544
2023-03-23 14:00:00,-1.628815
2023-03-23 15:00:00,-1.6595565
2023-03-23 16:00:00,-0.8826618
2023-03-23 17:00:00,0.09598608
2023-03-23 18:00:00,0.9087963
2023-03-23 19:00:00,1.5108247
2023-03-23 20:00:00,1.5467935
2023-03-23 21:00:00,1.1735531
2023-03-23 22:00:00,0.41450298
2023-03-23 23:00:00,-0.34130016
2023-03-24 00:00:00,-0.894159
2023-03-24 01:00:00,-1.3519474
2023-03-24 02:00:00,-1.6806735
2023-03-24 03:00:00,-1.8282917
2023-03-24 04:00:00,-1.3383616
2023-03-24 05:00:00,-0.26159295
2023-03-24 06:00:00,0.5917046
2023-03-24 07:00:00,1.2608851
2023-03-24 08:00:00,1.5348239
2023-03-24 09:00:00,1.3452835
2023-03-24 10:00:00,0.7153292
2023-03-24 11:00:00,-0.06105196
2023-03-24 12:00:00,-0.6481294
2023-03-24 13:00:00,-1.0865406
2023-03-24 14:00:00,-1.4477988
2023-03-24 15:00:00,-1.644085
2023-03-24 16:00:00,-1.423133
2023-03-24 17:00:00,-0.40684092
2023-03-24 18:00:00,0.40680206
2023-03-24 19:00:00,1.0791996
2023-03-24 20:00:00,1.4815494
2023-03-24 21:00:00,1.2542845
2023-03-24 22:00:00,0.68071544
2023-03-24 23:00:00,-0.12208263
2023-03-25 00:00:00,-0.72141695
2023-03-25 01:00:00,-1.1724145
2023-03-25 02:00:00,-1.5225358
2023-03-25 03:00:00,-1.7331468
2023-03-25 04:00:00,-1.6181928
2023-03-25 05:00:00,-0.6904542
2023-03-25 06:00:00,0.16426316
2023-03-25 07:00:00,0.90503955
2023-03-25 08:00:00,1.4470093
2023-03-25 09:00:00,1.3873711
2023-03-25 10:00:00,1.0052826
2023-03-25 11:00:00,0.33818662
2023-03-25 12:00:00,-0.33460778
2023-03-25 13:00:00,-0.8248088
2023-03-25 14:00:00,-1.2277732
2023-03-25 15:00:00,-1.4839901
2023-03-25 16:00:00,-1.4846847
2023-03-25 17:00:00,-0.7793154
2023-03-25 18:00:00,0.084039085
2023-03-25 19:00:00,0.7572012
2023-03-25 20:00:00,1.2244205
2023-03-25 21:00:00,1.2602866
2023-03-25 22:00:00,0.8754989
2023-03-25 23:00:00,0.12261235
2023-03-26 00:00:00,-0.5066334
2023-03-26 01:00:00,-0.9659592
2023-03-26 02:00:00,-1.334125
2023-03-26 03:00:00,-1.5632094
2023-03-26 04:00:00,-1.5768412
2023-03-26 05:00:00,-1.0022486
2023-03-26 06:00:00,-0.1346525
2023-03-26 07:00:00,0.56685066
2023-03-26 08:00:00,1.1065571
2023-03-26 09:00:00,1.3982152
2023-03-26 10:00:00,1.1557586
2023-03-26 11:00:00,0.6637325
2023-03-26 12:00:00,-0.020999111
2023-03-26 13:00:00,-0.5751416
2023-03-26 14:00:00,-0.9554597
2023-03-26 15:00:00,-1.2445521
2023-03-26 16:00:00,-1.3355396
2023-03-26 17:00:00,-0.9883227
2023-03-26 18:00:00,-0.19377652
